,pi_ns
Pf3D7_02_v3:522931-523999,7.029131385573586e-05
Pf3D7_03_v3:224160-225793,0.0006134360826708971
Pf3D7_04_v3:373039-376677,0.0001420725013123892
Pf3D7_04_v3:995998-996252,0.00014147615979559765
Pf3D7_06_v3:684742-688857,0.00040075061270198286
Pf3D7_06_v3:1205190-1207781,0.0007630330821930097
Pf3D7_08_v3:1269135-1269647,0.003284362168175095
Pf3D7_08_v3:1290240-1291406,0.0016751915316816001
Pf3D7_09_v3:127416-127724,0.002528363261796692
Pf3D7_09_v3:504412-508130,0.00012791912283968904
Pf3D7_09_v3:1017435-1018918,6.637357671433035e-05
Pf3D7_10_v3:701746-702422,2.347942955326307e-05
Pf3D7_10_v3:994322-996788,0.000432487236599908
Pf3D7_10_v3:1113495-1118573,0.00011808638932200539
Pf3D7_10_v3:1324132-1328436,0.0011839779974263636
Pf3D7_11_v3:644100-645537,0.00032336053297403987
Pf3D7_11_v3:1234061-1236391,0.00022174611255284363
Pf3D7_11_v3:1243226-1246618,0.00027044255600267036
Pf3D7_11_v3:1480900-1481526,0.000504749369737093
Pf3D7_12_v3:92242-92562,0.004440141401374637
Pf3D7_13_v3:123726-124415,0.00020959362606336318
Pf3D7_13_v3:1145719-1151106,0.00020671301346968237
Pf3D7_13_v3:2114157-2116211,0.00290895523383683
Pf3D7_13_v3:2178639-2179862,0.0018235708201747587
Pf3D7_14_v3:312569-313296,8.221004303827771e-05
Pf3D7_14_v3:1841960-1842906,7.973927132982367e-05
Pf3D7_14_v3:2809478-2812066,0.0001034898263154891
Pf3D7_14_v3:3087061-3105071,0.0003290642880172607
Pf3D7_14_v3:3131104-3131637,0.002616224026982782
