,pi_s
Pf3D7_02_v3:522931-523999,0.0032796435914329855
Pf3D7_03_v3:224160-225793,0.00022900982928704145
Pf3D7_04_v3:373039-376677,0.0001812811724985613
Pf3D7_06_v3:684742-688857,0.00020343088647135546
Pf3D7_06_v3:1205190-1207781,6.987430662871142e-05
Pf3D7_08_v3:1290240-1291406,0.00028335023360354545
Pf3D7_09_v3:127416-127724,9.819314252914658e-05
Pf3D7_09_v3:504412-508130,0.00019751942296568475
Pf3D7_09_v3:1017435-1018918,0.0001661932533259778
Pf3D7_10_v3:994322-996788,0.0001127148710898689
Pf3D7_10_v3:1113495-1118573,0.0006432909056802644
Pf3D7_10_v3:1324132-1328436,0.0010965628853746793
Pf3D7_11_v3:644100-645537,0.00035030289026883964
Pf3D7_11_v3:1234061-1236391,0.0001659814300116555
Pf3D7_11_v3:1243226-1246618,8.073604145490603e-05
Pf3D7_11_v3:1480900-1481526,0.00016728082622242003
Pf3D7_13_v3:123726-124415,0.0006006773570748466
Pf3D7_13_v3:1145719-1151106,0.0007742729695017304
Pf3D7_13_v3:2114157-2116211,3.726146385549336e-05
Pf3D7_13_v3:2178639-2179862,5.955995219261025e-05
Pf3D7_14_v3:1841960-1842906,0.0002554500054614961
Pf3D7_14_v3:2809478-2812066,8.459023780446744e-05
Pf3D7_14_v3:3087061-3105071,0.00026095311603982317
Pf3D7_14_v3:3131104-3131637,0.00013189509755293387
