,theta_s
Pf3D7_02_v3:522931-523999,0.0007440806391775381
Pf3D7_03_v3:224160-225793,0.0012492566596131827
Pf3D7_04_v3:373039-376677,0.000533313048831259
Pf3D7_06_v3:684742-688857,0.0007668649356675809
Pf3D7_06_v3:1205190-1207781,0.0011738918562765395
Pf3D7_08_v3:1290240-1291406,0.001361384307798829
Pf3D7_09_v3:127416-127724,0.1396931308969082
Pf3D7_09_v3:504412-508130,0.0007270166850126881
Pf3D7_09_v3:1017435-1018918,0.000586719047418703
Pf3D7_10_v3:994322-996788,0.00037788944336404384
Pf3D7_10_v3:1113495-1118573,0.0006681298243332598
Pf3D7_10_v3:1324132-1328436,0.000901624750835521
Pf3D7_11_v3:644100-645537,0.0005309548645478649
Pf3D7_11_v3:1234061-1236391,0.000877681541707425
Pf3D7_11_v3:1243226-1246618,0.0004923371821442091
Pf3D7_11_v3:1480900-1481526,0.0024303881799825743
Pf3D7_13_v3:123726-124415,0.0013050386288378628
Pf3D7_13_v3:1145719-1151106,0.0006145350934755609
Pf3D7_13_v3:2114157-2116211,0.00024231245602239065
Pf3D7_13_v3:2178639-2179862,0.0029733472414680434
Pf3D7_14_v3:1841960-1842906,0.0011021154311393153
Pf3D7_14_v3:2809478-2812066,0.0003631537198359832
Pf3D7_14_v3:3087061-3105071,0.0006071609499686685
Pf3D7_14_v3:3131104-3131637,0.001518403596705524
