"","FST"
"ring - sporozoite",0.000905819361114665
"trophozoite - sporozoite",0.012816139254944
"schizont - sporozoite",0.0757466481197474
"gametocyte - sporozoite",0.000120252686836364
"ookinete - sporozoite",0.0108838095517742
"trophozoite - ring",0.901997045559675
"schizont - ring",0.901997045559675
"gametocyte - ring",0.925873097760414
"ookinete - ring",0.901997045559675
"schizont - trophozoite",0.925873097760414
"gametocyte - trophozoite",0.901997045559675
"ookinete - trophozoite",0.902008522405311
"gametocyte - schizont",0.806184572104215
"ookinete - schizont",0.925873097760414
"ookinete - gametocyte",0.901997045559675
